id_course,intership_M,intership_A,intership_I,intership_O,intership_DM
90901,1,0,0,0,0
90905,1,0,0,0,0
40137,1,0,0,0,0
40114,1,0,0,0,0
40111,1,0,0,0,0
40107,1,0,0,0,0
40103,1,0,0,0,0
90902,1,0,0,0,0
90937,1,0,0,0,0
90911,1,0,0,0,0
10824,1,0,0,0,0
90926,1,0,0,0,0
90939,1,0,0,0,0
90947,1,0,0,0,0
10806,1,0,0,0,0
40102,1,0,0,0,0
40105,1,0,0,0,0
40129,1,0,0,0,0
40112,1,0,0,0,0
90914,1,0,0,0,0
40104,1,0,0,0,0
40132,1,0,0,0,0
40130,1,0,0,0,0
40113,1,0,0,0,0
10336,1,0,0,0,0
90925,1,0,0,0,0
10805,1,0,0,0,0
80899,1,0,0,0,0
40108,1,0,0,0,0
40120,1,0,0,0,0
40135,1,0,0,0,0
40133,1,0,0,0,0
40225,1,0,0,0,0
40219,0,0,1,1,0
10230,0,1,0,0,0
40123,1,0,0,0,0
40106,1,0,0,0,0
40118,1,0,0,0,0
40223,1,0,0,0,0
40229,1,0,0,0,0
40208,0,0,1,0,0
40238,0,0,1,0,0
10310,0,0,1,0,0
40220,0,0,1,0,0
40205,0,1,0,0,0
40235,0,1,0,0,0
40214,0,0,0,1,0
40231,0,0,0,1,0
40215,0,0,0,0,1
80898,1,0,0,0,0
40127,1,0,0,0,0
40139,1,0,0,0,0
40134,1,0,0,0,0
40401,1,0,0,0,0
40241,0,1,1,0,0
40232,0,0,1,0,0
10206,0,0,1,0,0
40125,0,0,1,0,0
40109,0,0,0,0,1
40237,0,0,0,0,1
40204,0,0,0,0,1
40213,0,0,0,0,1
40136,1,0,0,0,0
40124,1,0,0,0,0
40211,0,0,1,0,0
40209,0,1,0,0,0
40240,0,1,0,0,0
10237,0,1,0,0,0
10246,0,1,0,0,0
40221,0,0,0,1,0
40222,0,0,0,0,1
40239,0,0,0,0,1
