id_course,rec_year,rec_sem
90901,1,1
90905,1,1
40137,1,1
40114,1,1
40111,1,1
40107,1,1
40103,1,1
90902,1,2
90937,1,2
90911,1,2
10824,1,2
90926,1,2
90939,2,1
90947,2,1
10806,2,1
40102,2,1
40105,2,1
40129,2,1
40112,2,1
90914,2,1
40104,2,2
40132,2,2
40130,2,2
40113,2,2
10336,2,2
90925,2,2
10805,2,2
80899,2,3
40108,3,1
40120,3,1
40135,3,1
40133,3,1
40225,3,1
40219,3,1
10230,3,1
40123,3,2
40106,3,2
40118,3,2
40223,3,2
40229,3,2
40208,3,2
40238,3,2
10310,3,2
40220,3,2
40205,3,2
40235,3,2
40214,3,2
40231,3,2
40215,3,2
80898,3,3
40127,4,1
40139,4,1
40134,4,1
40401,4,1
40241,4,1
40232,4,1
10206,4,1
40125,4,1
40109,4,1
40237,4,1
40204,4,1
40213,4,1
40136,4,2
40124,4,2
40211,4,2
40209,4,2
40240,4,2
10237,4,2
10246,4,2
40221,4,2
40222,4,2
40239,4,2
,,
,,
,,
,,
,,
,,
